puuid,leagueId,queueType,tier,rank,summonerId,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,ratedTier,ratedRating
g9sU4vV4TPvmjP_6P5-FM0yyi98WhXYVUu_a1PE3Xty1t22wcVnH3Y040UaxC6GDf_bfNLTS4zrBdg,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,KAL0-h2-SOq-YcWu6IN5t9bf7mxrh4uckcnIJUAVYTSuzLQ,1409.0,169,79,True,False,False,True,,
YsCuSruj4VFi6h7OUzWrKKoufywKY9J16U5ZGoGrGWZFSGBYrSj03aLFXFykubGTEGiM6nVzpNJq1A,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,22zeRro_aHK72h2jRu3mtRAVDwbw666ZjILnq0Vvnck2dsk,1404.0,221,135,True,False,False,False,,
aLQyBvi0X3xEHq2fqvq4NgUx0fvGCVNlDkj3HQdJX0C3_JEPj_Hk7-B3pl6L33sPWvq30Tj8PRgtkg,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,GdrK6aQDaFyRbqWfkMEo2iDM7hzJY1_TtRAFN_HOKGYbaM2f2EosplCs4g,1323.0,147,77,False,False,False,False,,
MZspSFqlX250r9YwP8p_g98mjDWdnNCvUnDSvpKaRRPwjX9UU5hZokSaIHnjHwxuohHnLoxZhqCIFQ,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,a1efI9gzygMpDbGXa_k5sNzhRlJH1VIA-JSC6WN09xIPzDc,1171.0,179,106,True,False,False,False,,
N_o3BuSu6pmv8zHoLGhdbqeKXRKZmaEL-R-N4H-P3oa5kwzFkzMgoUJkyD2yMZbjA_kv067bt8BRUA,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,ZSYlCCagMPDPNaCsIT0JrFvOTvW-9T2p9-D-4CWPnRM4yUcos8FLpbFRGg,1122.0,175,96,False,False,True,False,,
Y9qjlXxU0KH3-Eme2QxRTKBwEzq7VsOQLb04U0jrUgNYrU_GAFfzK6FYjr3J8xeY9jC9vwYp6RfcJA,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,29PW1SaGXPOt3tZ11Zwewp24X9LwmQgQV0P3rpAKbhHNzA,1116.0,124,64,False,False,False,True,,
kY7Ju140zJFdQOU2HRNPNL2veCt2pFIZ89dyNSS7H2gUC0_H2yi7GuZSDX0z4Zh-fNpvD7pxTo1gJQ,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,n76wsNDgVwlECONmbDdz6ABjNHz3ZXTcwh3xrwFD0s5DlI0,1112.0,148,70,False,False,False,False,,
l1RmQwUHhOlcLejOliAw3_WbfPoWH4yEsgF3TjeYqN2M5m9Ua6vTKhSFTn6UQ8CTYuwnM3OS-e3B0A,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,P_KUydRyF218Js4AiBVk1JH121F_pELj4wDIFFqbNMn4UBo,1111.0,158,112,False,False,False,False,,
jKKNH2WrvAA3Vk2_QIIHQaq5vhuCth7ryn9wRZXlPpx7Mh3YViX8o340cwOd28dNG66t8Q7Na9cYiw,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,RZnPFTABmsNrpgtFlagxZtuYOsunlnvCGMQ61pm4vD0G-w-ZghsxW_6paw,1095.0,142,79,True,False,False,False,,
7DAsGa559o-CVzhkeMpEtZAodOAu1CK1rD32mzdNYKB9HmdJFx9rOhauQayHP_OItY_RctLSuc5rlQ,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,WHv90jWNrv8pvBss-RZ3LzWdRmkfeT5GNtYAPgcS77gLBA,1082.0,175,137,False,False,True,True,,
rCozEyhiZzegdu8Fkv3tMW_pcHamOcEmY9LNA0ZCs9EzRGRwbrgGWFMT4hs1imw4wnIPavFbMc2gNg,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,4n7nhLphU9P3fbimukV1fsfDhj46szmn71vbjVqagBR2yrE,1063.0,146,99,False,False,False,False,,
Y0Fab9Q6BfRNJsSUlAA2VT0_pwoKuouxvtv5791nhUadYXza7MjFR0y_CXmb6eB6DN46Pr82JATEgw,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,b77XZ_Cd89ENrwPxrSQaGyxKCskJgX8LJ5VP_qYPb470gA,1026.0,172,109,False,False,False,False,,
hibByyFWt40sZJR29NaVHNLRDj9829nPPhBqnhdSUUN_f3o-jrvJFvpOBeF_bTwCJg83i_nalM52_g,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,jKs3Eq99iYdgRyCbNNwb0DQ3JMUtc3V9hj4RwVz_jpoN0vs,1019.0,178,122,False,False,True,False,,
MOmnJ_E7wRSC3X_1nxUlpJHz-2NKC7ChSj3GHKE39Rfcqg-v1zgq1PwmpRK-bfaeyQaFMZXbbwGTUg,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,esYjmi7WKwvroE4xeuEg0aYb-OLMb-CN8Z-gU8t9ovUQLY5LOn6FhRaDXg,1019.0,136,60,True,False,False,False,,
IGqIGx_LTWOoACKc-zhes6L3tGcZ1ER9YOe6EObCjwvHUkcw3sXDhE7RoyCPrnjot9_2oNj4bdwA9g,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,hnA5cwo8tZRe998VDHa1PY_w804nr-5ctVPuNIywZYZlT0o,1016.0,171,118,True,False,False,False,,
mh-xdxT2cTkRsuIZXKiXo6KjKkFvpZAumuLu0zKrgsm35RVIWE7Wp8pkTE4G8p5ptetplmBEiLU3Zg,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,IOCkNX9fq4uJ_J66QYu9-PBN3Dk5eaQHIhHVZEOnqfznEUhL2MklfnRXsA,1011.0,138,71,False,False,True,True,,
z5gWa0QBSrFNMfL_6bZzYd4yomY9GTDXmx-531AIgU9CtXYcXrBtlGIjAa0v5eay1oox_xyvrsEI4A,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,-z2rfjdO_HBXylOxNy9pvMFLSaJIQvoLdhvlKvjG55WIg9A,1008.0,167,87,False,False,False,False,,
v8gWagQ0Cc7lAKppQFPu2O0AyHxX2ThHF32hhmcgDn_eaiEDoEDWVodnI7eaCb8oNYvsNLMXUdDx-g,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,b_5-v14RPK12NTSJ68vsp1r5AGp2XQsPCCdoSkYDKXqBlUU,1000.0,189,141,True,False,False,False,,
XtrAeIgH0PhhGqLXC1ti7MyOjgIP2H2PMidQds7MsLGxTIJZXdzgxr4dYPvM3qlA2-adAzB-PzI3Yg,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,0D7Bi6F4P67PAkMthnLanJDZy7Rs4IKxF-hR-vdJpZdVdVI,971.0,147,92,False,False,True,False,,
XtrAeIgH0PhhGqLXC1ti7MyOjgIP2H2PMidQds7MsLGxTIJZXdzgxr4dYPvM3qlA2-adAzB-PzI3Yg,95698074-15a0-3698-bbc6-4b602f28564d,RANKED_TFT_DOUBLE_UP,MASTER,I,13994069,27.0,37,3,False,False,True,False,,
ItFT3ib8Zd5KBOVZz10Qun1AcqkT3AgkDQEuklGzdd4l2i0_qhBm6XCb9PjYbg49GuRFwyU_E879Ww,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,9ZzPmTCdfu8FvEz0pnTUV0AAOzyZrNwDQv9Gys5MtXmFvQ,924.0,103,46,False,False,True,False,,
ItPMGSB4TFlhPRfrTYPJi_3Ov05AVjqAW6Qr6ytVZPP5KdQbACDwNCUDYqRW1Yy6iDVEKM1P9WSOBA,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,XnYkGaQ-HNLeTN3xRe9wLXjZbx9_sTHxjqIa8ALkgpcpeECjwofpT-KBZw,889.0,157,95,False,False,True,True,,
s-FjAnjNojElaqrYXcosySZNscz_kPsmt_qpukg-vWoGa0GCKP-QUNGMxYCv3YF6cJxidt8NYll8bw,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,G4ULCiPw7TjEL6aAoKcrkOOLWz-CGmDUtfVt_uW7yI2LWZE,888.0,108,51,False,False,False,True,,
3hfi4oiZ4hqB3kOrE-YFBsq4KD91gFx0lP0-tzpth7kq096bUL5O0jTyzAcgbtgjay_HTI8B5Mqypw,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,LDWsTXmilzlCW6ldqLqn_hSnI4ywlbsNPxtVQoD7kuYU4I8,835.0,167,115,False,False,True,False,,
2L8hhGBeuIaX4zlSBLz91FeZ86_G_cH3YUTzT36dNTer5GIWltKMgFD6ss1CABJsfFAaXI0ewzyU9Q,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,nljM0b4UORrWgITH80MefWpX7dow-j6ZaPHo_egkiFrSqrzW,821.0,117,73,False,False,True,False,,
